STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (痠hos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year
1443,"ACHENKOIL AT CHENNITHULA, KERALA",KERALA,24.9,6,7.1,85,1.7,0.53,262,538,2013
3465,"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",KERALA,24.3,6.3,7.1,69,1.3,0.57,248,593,2013
3466,"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE), PATHANAMTHITTA",KERALA,24.8,6.5,7.3,76,1.6,0.55,226,545,2013
2297,R ANCHARAKANDY AT MERUVAMBA,KERALA,26.4,6.7,6.6,60,1.2,0.34,228,435,2013
2319,R ANCHARAKANDY AT MERUVAMBA,KERALA,27,7,6.6,3544,1.5,0.37,208,435,2013
2286,R AYROOR AT AYROOR BRIDGE,KERALA,26.6,6.7,7.3,51,0.8,0.35,547,1567,2013
2331,R BHARATHAPUZHA AT KUTTIPPURAM,KERALA,28.6,6.9,7.7,107,0.7,0.46,255,443,2013
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,28.8,6.7,7.9,173,0.9,0.56,191,426,2013
1154,"CHALAKUDY AT PULICKALKANANDAVU, KERALA",KERALA,28,5.6,6.9,126,1.2,0.67,266,990,2013
20,"CHALIYAR AT KOOLIMADU, KERALA",KERALA,27.4,7.3,7.4,70,0.8,0.31,2984,4208,2013
21,"CHALIYAR AT CHUNGAPALLY, KERALA",KERALA,27.5,6.9,7.4,12754,0.8,0.29,1807,2557,2013
3464,"CHALIYAR AT NILAMBUR, MALAPPURAM",KERALA,26.8,7.1,7.4,80,0.6,0.5,1921,2831,2013
1572,"CHANDRAGIRI AT PADIYATHADKA, KERALA",KERALA,30,7.2,6.9,62,1.3,0.11,33,150,2013
1573,"CHITRAPUZHA AT IRUMPANAM, KERALA",KERALA,28.8,3.4,6.7,2965,2.3,1.11,271,1236,2013
2295,R CORAPUZHA AT KANAYANKODE,KERALA,27.4,6.1,7.2,15871,0.9,0.25,1667,2975,2013
1564,"R ITHIKKARA AT AYUR, KERALA",KERALA,24.8,6.4,7.2,120,1.9,0.77,258,618,2013
2287,R ITHIKKARA AT ITHIKKARA,KERALA,23.6,6.2,7.2,7448,2,1.01,184,483,2013
1566,"R KADALUNDI AT THIRURANGADY, KERALA",KERALA,29.8,6.6,6.9,77,1.6,0.29,264,756,2013
2293,R KADALUNDI AT HAJIRAPPALLY,KERALA,30.2,6.8,7,72,1.7,0.2,249,785,2013
2337,R KADAMBAYAR AT BRAHMAPURAM,KERALA,28.2,2.9,6.7,305,2.2,1.28,403,1623,2013
2338,R KADAMBAYAR AT MANCKAKADAVU,KERALA,27.7,3,6.6,86,2,0.39,357,1319,2013
42,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",KERALA,23.9,6.7,7.1,79,1.6,0.34,313,738,2013
2294,R KALLAI AT KALLAI BRIDGE,KERALA,27.4,3.6,7.3,32790,2.6,0.59,64259,112867,2013
3460,"KALPATHI PUZHA AT KALPATHI, PALAKKAD",KERALA,27.8,6.1,7.8,2905,1.3,0.54,422,997,2013
3458,KARAPUZHA DAM AT WAYANAD,KERALA,26.4,6.9,7.4,112,0.5,0.35,50,67,2013
1571,"R KARINGODE AT KAKKADAVU,  KERALA",KERALA,29.6,7,6.9,51,1.1,0.18,44,317,2013
1155,"KARAMANA AT MOONNATTUMUKKU, KERALA",KERALA,27,3.1,7.2,1416,13.2,4.41,2992,19917,2013
3471,"RIVER KARAMANA AT ARUVIKARA, THIRUVANANTHAPURAM",KERALA,26.3,7,7.1,30,0.5,0.32,211,496,2013
2289,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,30,6.1,7,59,1.8,0.58,89,282,2013
2301,R KAVVAI AT KUTTIYOL PALAM,KERALA,28,6,6.4,61,2.1,0.28,87,300,2013
2291,R KEECHERI AT VADAKKANCHERY BRIDGE,KERALA,30.1,6.3,7,105,2.8,0.37,142,543,2013
2326,R KORAYAR AT KANJIKODE,KERALA,27.9,6.9,8.1,502,0.9,0.72,382,615,2013
1569,"R KUPPAM AT THALIPARAMBA, KERALA",KERALA,27,5.9,6.7,14662,1.5,0.52,144,377,2013
2298,R KUPPAM AT RAYAROM,KERALA,26,7.8,6.8,49,1.4,0.3,122,319,2013
1567,"R KUTTIYADE AT KUTTIYADY ESTATE, KERALA",KERALA,27.7,7.1,7.4,380,1,0.14,1527,66382,2013
1568,"R MAHE AT VALAYAM, KERALA",KERALA,27.1,7.3,7.2,67,0.9,0.38,6490,3471,2013
2285,R MAMOM AT MAMOM BRIDGE,KERALA,26.5,6.2,7.2,51,0.8,0.23,331,942,2013
1340,"MANIMALA  AT KALLOOPARA, KERALA",KERALA,28.5,7.2,6.8,69,1.2,0.45,706,941,2013
1384,"MANIMALA AT THONDRA, KERALA",KERALA,28.7,6.9,6.7,75,2.5,0.4,526,701,2013
3459,"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",KERALA,25.7,6.3,7.4,113,0.6,0.88,98,128,2013
2307,R MANJESWAR AT BAJRAKKARA BR.,KERALA,29.3,7.6,6.8,79,1.6,0.31,48,109,2013
1339,"MEENACHIL AT KIDANGOOR, KERALA",KERALA,27,7,7.2,57,0.6,0.46,2117,3558,2013
2304,R MOGRAL AT MOGRAL BR.,KERALA,30.9,5.9,7,22576,1.5,0.35,42,253,2013
43,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA,27.1,6.8,7.2,105,0.6,0.39,1200,2392,2013
2302,R NEELASWARAM AT NAMBIARKAL DAM,KERALA,30.3,6.3,6.7,2315,1.3,0.17,55,278,2013
1570,"R NEELESWARAM AT HOSDURG, KERALA",KERALA,30.4,6.4,6.9,18569,1,0.27,40,277,2013
1563,"R NEYYAR AT AMARAVILA, KERALA",KERALA,26.2,6.6,7.3,45,0.6,0.39,228,940,2013
2284,R NEYYAR AT ARUVIPURAM,KERALA,26.2,6.9,7.2,42,0.5,0.18,151,774,2013
2288,R PALLICKAL AT NELLIMUKAL,KERALA,25.1,6,7.3,92,1.7,0.56,256,597,2013
1156,"PAMBA AT CHENGANNUR, KERALA",KERALA,27.4,6.1,7.2,59,0.7,1.04,181,311,2013
1341,"PAMBA AT THAKAZHY, KERALA",KERALA,28.1,4.5,6.9,1190,0.7,1.17,218,388,2013
1565,"PAMBA DOWN, KERALA",KERALA,28.3,4.2,7,69,0.6,1.04,240,420,2013
17,"PERIYAR NEAR ALWAYENANELOOR, KERALA",KERALA,28.2,6,7,5569,2.2,0.68,473,1894,2013
18,"PERIYAR AT KALADY, KERALA",KERALA,27.2,7.3,7,34,1,0.27,234,927,2013
1338,"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA,27.4,6.3,7,44,1.6,0.32,487,1876,2013
2333,RIVER PERIYAR AT MUPPATHADAM,KERALA,28.2,6.4,7.2,49,1.4,0.23,362,1357,2013
2334,RIVER PERIYAR AT PATHALAM,KERALA,27.9,5.9,7,3272,2.2,0.62,330,1284,2013
2335,R PERIYAR AT KALAMASSERY,KERALA,27.3,4.6,7,65,1.7,0.28,631,1937,2013
2336,R PERIYAR AT PURAPPALLIKAVU,KERALA,28.2,6.5,6.9,4650,2,1,340,1573,2013
3468,"PERIYAR AT KWA INTAKENAN ALUVA, ERNAKULAM",KERALA,28.2,6.5,7,42,1.4,1,249,1221,2013
2300,R PERUVAMBA AT CHANDAPPURA,KERALA,26.7,6.4,6.4,45,1.2,1,142,376,2013
2303,R PULLUR AT PULLUR BR.,KERALA,28,6,6.1,56,1.2,0,136,438,2013
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,29.7,5.3,6.8,99,2.8,0.79,106,523,2013
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,28.2,3.6,6.5,22131,1.8,0.95,105,261,2013
2305,R SHRIYA AT ANGADIMOGARU,KERALA,28.9,6.9,6.7,66,1.8,0,93,205,2013
2296,R THALLASSERY AT PATHIPPALAM,KERALA,26.4,6,6.6,67,1.5,3.69,168,398,2013
2292,R THIRUR AT THALAKKADATHUR BRIDGE,KERALA,30,4.9,6.8,9107,1.6,1,208,614,2013
2306,R UPPALA AT  UPPALA BR.,KERALA,30.8,6.3,7,18931,1.4,1,34,201,2013
3473,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",KERALA,27.8,6.6,6.8,15525,1.1,0.06,149,347,2013
1442,"VAMANAPURAM, KERALA",KERALA,26.7,7.1,7.5,46,0.8,1,239,1097,2013
1342,ACHENKOIL AT THUMPAMON,KERALA,26,7,7.2,79,0.8,0.62,279,637,2012
1443,ACHENKOIL AT CHENNITHULA,KERALA,26,6.6,7,67,1.1,0.53,275,670,2012
3465,"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",KERALA,26,6.6,7.3,59,0.7,0.57,281,541,2012
3466,"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE),PATHANAMTHITTA",KERALA,26,6.2,7.3,66,0.8,0.55,303,609,2012
2297,ANCHARAKANDY AT MERUVAMBA,KERALA,26,7.1,7,67,1,0.34,170,538,2012
2319,ANCHARAKANDY AT MERUVAMBA,KERALA,26,7,6.7,5341,1.1,0.37,158,528,2012
2286,R AYROOR AT AYROOR BRIDGE,KERALA,29,6.7,7.3,89,1.1,0.35,1163,2025,2012
2331,BHARATHAPUZHA AT KUTTIPPURAM,KERALA,28,6.2,7.3,136,1,0.46,296,676,2012
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,28,7.1,8.1,212,0.9,0.56,524,992,2012
1154,CHALAKUDY AT PULICKALKANANDAVU,KERALA,29,6.3,6.3,134,1.2,0.67,224,780,2012
20,CHALIYAR AT KOOLIMADU,KERALA,26,7.3,7.2,76,0.6,0.31,468,893,2012
21,CHALIYAR AT CHUNGAPALLY,KERALA,26,7,7.3,11041,0.9,0.29,256,503,2012
3464,"CHALIYAR AT NILAMBUR, MALAPPURAM",KERALA,28,6.8,7.1,75,0.8,0.5,693,1169,2012
1572,CHANDRAGIRI AT PADIYATHADKA,KERALA,29,7.4,7.2,61,0.7,0.11,54,255,2012
1573,CHITRAPUZHA AT IRUMPANAM,KERALA,28,1.7,6.6,769,3.4,1.11,556,1717,2012
2295,R CORAPUZHA AT KANAYANKODE,KERALA,26,6.1,7.5,14083,1.4,0.25,920,2686,2012
1564,"R ITHIKKARA AT AYUR, KERALA",KERALA,26,6.6,7.2,92,0.8,0.77,332,660,2012
2287,R ITHIKKARA AT ITHIKKARA,KERALA,25,6.6,7.2,1348,0.8,1.01,392,810,2012
1566,R KADALUNDI AT THIRURANGADY,KERALA,29,6,6.7,95,1.2,0.29,253,680,2012
2293,R KADALUNDI AT HAJIRAPPALLY,KERALA,29,6.6,6.8,78,1,0.2,275,626,2012
2337,KADAMBAYAR AT BRAHMAPURAM,KERALA,28,0.6,6.7,268,4.1,1.28,400,1308,2012
2338,KADAMBAYAR AT MANCKAKADAVU,KERALA,27,1.8,6.6,82,2,0.39,399,1410,2012
42,"KALLADA AT PERUMTHOTTAM KADAVU, PUNALOOR",KERALA,25,7.1,7.2,61,1,0.34,251,608,2012
2294,R KALLAI AT KALLAI BRIDGE,KERALA,26,3.9,7.6,30298,2.5,0.59,4830,7240,2012
3460,"KALPATHI PUZHA AT KALPATHI, PALAKKAD",KERALA,27,6.6,8,310,1.1,0.54,517,783,2012
3458,KARAPUZHA DAM AT WAYANAD,KERALA,27,7,7.1,97,0.8,0.35,45,77,2012
1571,R KARINGODE AT KAKKADAVU,KERALA,29,7.3,7,51,0.7,0.18,65,258,2012
1155,KARAMANA AT MOONNATTUMUKKU,KERALA,29,0.5,7.1,1717,21.2,4.41,3317,15833,2012
3471,"RIVER KARAMANA AT ARUVIKARA, THIRUVANANTHAPURAM",KERALA,29,7,7.4,55,0.9,0.32,800,1400,2012
2289,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,29,6.1,6.8,67,1.1,0.58,80,394,2012
2301,R KAVVAI AT KUTTIYOL PALAM,KERALA,27,7,6.7,61,1.3,0.28,168,248,2012
2291,KEECHERI AT VADAKKANCHERY BDG,KERALA,30,5.2,6.9,81,1.5,0.37,71,465,2012
2326,R KORAYAR AT KANJIKODE,KERALA,27,6.1,8,510,1.1,0.72,784,1572,2012
1569,R KUPPAM AT THALIPARAMBA,KERALA,27,6.5,6.9,12150,1.8,0.52,711,1481,2012
2298,R KUPPAM AT RAYAROM,KERALA,25,7.9,7.2,50,1.1,0.3,319,845,2012
1567,R KUTTIYADE AT KUTTIYADY ESTATE,KERALA,25,7.5,6.9,34,0.9,0.14,110,256,2012
1568,"R MAHE AT VALAYAM, KERALA",KERALA,26,7,7.4,72,1,0.38,496,897,2012
2285,R MAMOM AT MAMOM BRIDGE,KERALA,29,7.3,7.3,99,0.9,0.23,1088,1788,2012
1340,MANIMALA  AT KALLOOPARA,KERALA,27,7.5,6.9,125,1.6,0.45,970,1400,2012
1384,MANIMALA AT THONDRA,KERALA,27,6.8,6.9,116,1.7,0.4,825,1260,2012
3459,"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",KERALA,27,5.8,7.3,107,0.9,0.88,232,343,2012
2307,R MANJESWAR AT BAJRAKKARA BR.,KERALA,28,7.1,7.2,85,0.8,0.31,67,184,2012
1339,MEENACHIL AT KIDANGOOR,KERALA,26,6.8,7.1,58,0.7,0.46,2010,3460,2012
2304,R MOGRAL AT MOGRAL BR.,KERALA,29,5.7,7.3,13197,1.5,0.35,46,144,2012
43,MUVATTAPUZHA AT VETTIKKATTUMUKKU,KERALA,27,6.7,7.1,58,1.2,0.39,964,1739,2012
2302,NEELASWARAM AT NAMBIARKAL,KERALA,28,7,6.9,3453,0.9,0.17,56,278,2012
1570,R NEELESWARAM AT HOSDURG,KERALA,29,6.5,7,14369,1.3,0.27,63,175,2012
1563,R NEYYAR AT AMARAVILA,KERALA,28,6.6,7.3,70,1.4,0.39,838,1875,2012
2284,R NEYYAR AT ARUVIPURAM,KERALA,29,7,7.3,60,0.8,0.18,631,1813,2012
2288,R PALLICKAL AT NELLIMUKAL,KERALA,26,6.3,7.2,97,0.8,0.56,357,880,2012
1156,PAMBA AT CHENGANNUR,KERALA,28,6,7,63,1.1,1.04,243,493,2012
1341,PAMBA AT THAKAZHY,KERALA,28,4.4,7.1,113,1.5,1.17,358,722,2012
1565,PAMBA DOWN,KERALA,28,4.5,7.2,79,1,1.04,279,537,2012
17,PERIYAR NEAR ALWAYENANELOOR,KERALA,28,5.1,6.9,1789,2.1,0.68,408,1946,2012
18,PERIYAR AT KALADY,KERALA,27,7.5,7.2,36,1.1,0.27,282,1134,2012
1338,PERIYAR AT SEWAGE DISCHARGE POINT,KERALA,28,6.8,7,59,1.3,0.32,648,2267,2012
2333,PERIYAR AT MUPPATHADAM,KERALA,28,6.8,6.9,114,1.4,0.23,388,1785,2012
2334,RIVER PERIYAR AT PATHALAM,KERALA,28,5.9,6.8,1108,2.2,0.62,386,1520,2012
2335,R PERIYAR AT KALAMASSERY,KERALA,28,4.9,6.7,88,2.2,0.28,480,2200,2012
2336,R PERIYAR AT PURAPPALLIKAVU,KERALA,28,6.8,6.9,1686,1.4,0.25,236,1223,2012
3468,"PERIYAR AT KWA INTAKENAN ALUVA, ERNAKULAM",KERALA,28,7.1,6.9,45,1.2,0.29,451,1636,2012
2300,PERUVAMBA AT CHANDAPPURA,KERALA,26,6.9,6.6,56,1.1,0.3,177,542,2012
2303,R PULLUR AT PULLUR BR.,KERALA,28,6.5,6.3,49,1,0.22,87,323,2012
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,29,4.9,6.6,169,2.1,0.76,250,1241,2012
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,28,4.2,6.5,19575,1.4,0.39,210,528,2012
2305,R SHRIYA AT ANGADIMOGARU,KERALA,28,6.9,7.1,63,0.9,0.16,152,336,2012
2296,THALLASSERY AT PATHIPPALAM,KERALA,26,6.6,6.7,69,0.8,0.38,185,464,2012
2292,THIRUR AT THALAKKADATHUR BDG,KERALA,29,4.5,6.6,6381,2.1,0.34,196,435,2012
2306,R UPPALA AT  UPPALA BR.,KERALA,29,6.2,7.2,9326,1.3,0.22,61,141,2012
3473,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",KERALA,27,6.6,7.1,15158,1.1,0.26,126,810,2012
1442,VAMANAPURAM,KERALA,29,6.3,7.3,74,1.2,0.29,725,1813,2012
1342,ACHENKOIL AT THUMPAMON,KERALA,26.6,7.1,6.9,72,0.5,0.25,278,641,2011
1443,ACHENKOIL AT CHENNITHULA,KERALA,26.8,6.6,6.9,70,0.9,0.49,223,495,2011
2297,R ANCHARAKANDY AT MERUVAMBA,KERALA,26.6,6.9,7.1,52,0.8,0.18,46,520,2011
2319,R ANCHARAKANDY AT MERUVAMBA,KERALA,26.8,7.2,7,830,0.8,0.16,94,654,2011
2286,R AYROOR AT AYROOR BRIDGE,KERALA,29.3,6.3,6.9,95,1.3,0.99,750,1325,2011
2331,R BHARATHAPUZHA AT KUTTIPPURAM,KERALA,25.4,7.2,7.4,164,0.9,0.46,1325,2225,2011
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,25.5,6.9,7.5,231,0.8,0.55,1000,1725,2011
1154,CHALAKUDY AT PULICKALKANANDAVU,KERALA,26.6,6.5,6.9,101,1.3,0.47,468,1127,2011
20,"CHALIYAR AT KOOLIMADU, KERALA",KERALA,24.7,7.1,7.1,64,0.6,0.4,283,646,2011
21,CHALIYAR AT CHUNGAPALLY,KERALA,24.8,7.1,7.1,4600,0.6,0.35,229,538,2011
1572,CHANDRAGIRI AT PADIYATHADKA,KERALA,28,7.5,7.2,52,0.6,0.15,285,900,2011
1573,CHITTHRAPUZHA AT IRUMPANAM,KERALA,27.4,2,6.8,265,2.4,2.3,1525,5425,2011
2295,R CORAPUZHA AT KANAYANKODE,KERALA,26,5.6,7,12769,1.2,0.41,725,1650,2011
1564,"ITHIKKARA AT AYUR, KERALA",KERALA,27.4,7.1,7,90,0.6,0.64,338,625,2011
2287,R ITHIKKARA AT ITHIKKARA,KERALA,26.5,6.1,7,248,0.8,0.66,500,1150,2011
1566,KADALUNDY AT THIRURANGADY,KERALA,28.4,6,7,94,1.1,0.13,183,370,2011
2293,R KADALUNDI AT HAJIRAPPALLY,KERALA,28.8,6.5,7.5,76,0.8,0.08,275,585,2011
2337,R KADAMBAYAR AT BRAHMAPURAM,KERALA,26.7,1.5,6.6,192,3.6,0.92,881,2978,2011
